tokens,ner_tags,sentence_label
"['7', '-', 'Bogdan', 'Prusek', '(', 'Sokol', 'Tychy', ')']","[0, 0, 1, 2, 0, 3, 4, 0]",1
"['The', 'turbulent', 'southern', 'port', 'has', 'been', 'calmer', 'this', 'year', ',', 'but', 'police', 'say', 'more', 'than', '300', 'people', 'have', 'died', 'in', 'political', 'unrest', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['CRICKET', '-', 'ENGLAND', 'V', 'PAKISTAN', 'FINAL', 'TEST', 'SCOREBOARD', '.']","[0, 0, 5, 0, 5, 0, 0, 0, 0]",1
"['They', 'were', 'given', '900', 'milligrams', 'a', 'day', 'of', 'dried', 'garlic', 'powder', 'or', 'placebo', 'tablets', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
"['The', 'IOC', 'tender', 'had', '""', 'a', 'bearish', 'impact', ',', 'but', 'not', 'a', 'great', 'impact', ',', '""', 'one', 'German', 'player', 'said', '.']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0]",2
"['The', '35-year-old', 'Blind', ',', 'who', 'won', '42', 'caps', 'for', 'the', 'Netherlands', ',', 'said', 'he', 'wanted', 'to', 'concentrate', 'on', 'playing', 'for', 'his', 'Dutch', 'club', 'Ajax', 'Amsterdam', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 3, 4, 0]",1
"['S.', 'Korea', 'Daewoo', ',', 'Dacom', 'units', 'in', 'Polish', 'telecom', 'JV', '.']","[5, 6, 3, 0, 3, 0, 0, 7, 0, 0, 0]",2
"['-', 'Confrontation', 'is', 'escalating', 'between', 'Hizbollah', 'and', 'the', 'government', '.']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 0]",0
"['Uganda', ""'s"", 'elimination', 'follows', 'their', 'humiliating', '5-1', 'aggregate', 'defeat', 'by', 'Angola', 'in', 'June', ""'s"", 'World', 'Cup', 'qualifying', 'preliminaries', '.']","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 7, 8, 0, 0, 0]",1
"['Some', 'are', 'commanding', 'a', 'very', 'good', 'premium', 'of', '95', 'cents', 'to', 'one', 'dollar', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Canada', ""'s"", 'Prairies', 'saw', 'no', 'frost', 'on', 'Monday', 'morning', 'and', 'none', 'was', 'expected', 'anywhere', 'on', 'the', 'grainbelt', 'until', 'late', 'in', 'the', 'Labour', 'Day', 'long', 'weekend', ',', 'Environment', 'Canada', 'said', '.']","[5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 3, 4, 0, 0]",0
